country,s,number
Thailand,,10994721
Japan,,8380034
S. Korea,,6023021
Vietnam,,5806425
Singapore,,3416475
Italy,,3200847
Malaysia,,3114257
US,,2991813
Taiwan,,2714065
Russia,,2257039
Indonesia,,2072079
Cambodia,,2024443
Philippines,,1743309
Australia,,1323000
Laos,,805833
Spain,,649032
Czech Republic,,491648
Myanmar,,333085
Maldives,,283116
India,,281768
Mongolia,,144070
S. Africa,,84691
