country,cases,date
Spain,488,6/12/09
Spain,488,6/15/09
Spain,499,6/17/09
Spain,512,6/19/09
Spain,522,6/22/09
Spain,539,6/24/09
Spain,541,6/26/09
Spain,541,6/29/09
Spain,717,7/1/09
Spain,760,7/3/09
Spain,776,7/6/09
India,1,5/23/09
India,1,5/25/09
India,1,5/26/09
India,1,5/27/09
India,1,5/29/09
India,1,6/1/09
India,1,6/3/09
India,4,6/5/09
India,4,6/8/09
India,4,6/10/09
India,9,6/11/09
India,9,6/12/09
India,16,6/15/09
India,30,6/17/09
India,30,6/19/09
India,44,6/22/09
India,64,6/24/09
India,64,6/26/09
India,64,6/29/09
India,104,7/1/09
India,104,7/3/09
India,129,7/6/09
NLD,3,5/23/09
NLD,3,5/25/09
NLD,3,5/26/09
NLD,3,5/27/09
NLD,3,5/29/09
NLD,3,6/1/09
NLD,4,6/3/09
NLD,4,6/5/09
NLD,10,6/8/09
NLD,22,6/10/09
NLD,30,6/11/09
NLD,35,6/12/09
NLD,61,6/15/09
NLD,68,6/17/09
NLD,87,6/19/09
NLD,91,6/22/09
NLD,110,6/24/09
NLD,116,6/26/09
NLD,118,6/29/09
NLD,128,7/1/09
NLD,134,7/3/09
NLD,135,7/6/09
Brazil,8,5/23/09
Brazil,9,5/25/09
Brazil,9,5/26/09
Brazil,9,5/27/09
Brazil,10,5/29/09
Brazil,18,6/1/09
Brazil,20,6/3/09
Brazil,28,6/5/09
Brazil,35,6/8/09
Brazil,36,6/10/09
Brazil,40,6/11/09
Brazil,52,6/12/09
Brazil,54,6/15/09
Brazil,79,6/17/09
Brazil,96,6/19/09
Brazil,131,6/22/09
Brazil,334,6/24/09
Brazil,399,6/26/09
Brazil,452,6/29/09
Brazil,680,7/1/09
Brazil,737,7/3/09
Brazil,737,7/6/09
Israel,7,5/23/09
Israel,8,5/25/09
Israel,8,5/26/09
Israel,9,5/27/09
Israel,11,5/29/09
Israel,19,6/1/09
Israel,33,6/3/09
Israel,39,6/5/09
Israel,54,6/8/09
Israel,63,6/10/09
Israel,68,6/11/09
Israel,68,6/12/09
Israel,117,6/15/09
Israel,152,6/17/09
Israel,219,6/19/09
Israel,291,6/22/09
Israel,375,6/24/09
Israel,405,6/26/09
Israel,469,6/29/09
Israel,506,7/1/09
Israel,577,7/3/09
Israel,681,7/6/09
S. Korea,3,5/23/09
S. Korea,3,5/25/09
S. Korea,21,5/26/09
S. Korea,21,5/27/09
S. Korea,33,5/29/09
S. Korea,33,6/1/09
S. Korea,41,6/3/09
S. Korea,41,6/5/09
S. Korea,47,6/8/09
S. Korea,48,6/10/09
S. Korea,53,6/11/09
S. Korea,53,6/12/09
S. Korea,65,6/15/09
S. Korea,65,6/17/09
S. Korea,84,6/19/09
S. Korea,105,6/22/09
S. Korea,115,6/24/09
S. Korea,142,6/26/09
S. Korea,202,6/29/09
S. Korea,202,7/1/09
S. Korea,202,7/3/09
S. Korea,202,7/6/09
Australia,12,5/23/09
Australia,16,5/25/09
Australia,19,5/26/09
Australia,39,5/27/09
Australia,147,5/29/09
Australia,297,6/1/09
Australia,501,6/3/09
Australia,876,6/5/09
Australia,1051,6/8/09
Australia,1224,6/10/09
Australia,1307,6/11/09
Australia,1307,6/12/09
Australia,1823,6/15/09
Australia,2112,6/17/09
Australia,2199,6/19/09
Australia,2436,6/22/09
Australia,2857,6/24/09
Australia,3280,6/26/09
Australia,4038,6/29/09
Australia,4090,7/1/09
Australia,4568,7/3/09
Australia,5298,7/6/09
Greece,1,5/23/09
Greece,1,5/25/09
Greece,1,5/26/09
Greece,1,5/27/09
Greece,3,5/29/09
Greece,4,6/1/09
Greece,5,6/3/09
Greece,5,6/5/09
Greece,5,6/8/09
Greece,5,6/10/09
Greece,7,6/11/09
Greece,7,6/12/09
Greece,19,6/15/09
Greece,23,6/17/09
Greece,31,6/19/09
Greece,48,6/22/09
Greece,58,6/24/09
Greece,73,6/26/09
Greece,86,6/29/09
Greece,92,7/1/09
Greece,109,7/3/09
Greece,151,7/6/09
Ireland,1,5/23/09
Ireland,1,5/25/09
Ireland,1,5/26/09
Ireland,1,5/27/09
Ireland,3,5/29/09
Ireland,4,6/1/09
Ireland,4,6/3/09
Ireland,8,6/5/09
Ireland,11,6/8/09
Ireland,12,6/10/09
Ireland,12,6/11/09
Ireland,12,6/12/09
Ireland,12,6/15/09
Ireland,12,6/17/09
Ireland,16,6/19/09
Ireland,23,6/22/09
Ireland,23,6/24/09
Ireland,29,6/26/09
Ireland,39,6/29/09
Ireland,41,7/1/09
Ireland,51,7/3/09
Ireland,74,7/6/09
Colombia,12,5/23/09
Colombia,13,5/25/09
Colombia,16,5/26/09
Colombia,16,5/27/09
Colombia,17,5/29/09
Colombia,20,6/1/09
Colombia,20,6/3/09
Colombia,24,6/5/09
Colombia,25,6/8/09
Colombia,35,6/10/09
Colombia,35,6/11/09
Colombia,35,6/12/09
Colombia,42,6/15/09
Colombia,53,6/17/09
Colombia,60,6/19/09
Colombia,71,6/22/09
Colombia,71,6/24/09
Colombia,72,6/26/09
Colombia,88,6/29/09
Colombia,93,7/1/09
Colombia,101,7/3/09
Colombia,118,7/6/09
Swiss,2,5/23/09
Swiss,3,5/25/09
Swiss,3,5/26/09
Swiss,3,5/27/09
Swiss,4,5/29/09
Swiss,8,6/1/09
Swiss,10,6/3/09
Swiss,10,6/5/09
Swiss,16,6/8/09
Swiss,16,6/10/09
Swiss,20,6/11/09
Swiss,20,6/12/09
Swiss,22,6/15/09
Swiss,27,6/17/09
Swiss,27,6/19/09
Swiss,31,6/22/09
Swiss,33,6/24/09
Swiss,47,6/26/09
Swiss,49,6/29/09
Swiss,56,7/1/09
Swiss,72,7/3/09
Swiss,76,7/6/09
Austria,1,5/23/09
Austria,1,5/25/09
Austria,1,5/26/09
Austria,1,5/27/09
Austria,1,5/29/09
Austria,1,6/1/09
Austria,1,6/3/09
Austria,2,6/5/09
Austria,5,6/8/09
Austria,5,6/10/09
Austria,7,6/11/09
Austria,7,6/12/09
Austria,7,6/15/09
Austria,7,6/17/09
Austria,8,6/19/09
Austria,9,6/22/09
Austria,12,6/24/09
Austria,12,6/26/09
Austria,12,6/29/09
Austria,15,7/1/09
Austria,15,7/3/09
Austria,19,7/6/09
PHL,1,5/23/09
PHL,1,5/25/09
PHL,2,5/26/09
PHL,2,5/27/09
PHL,6,5/29/09
PHL,16,6/1/09
PHL,16,6/3/09
PHL,29,6/5/09
PHL,33,6/8/09
PHL,54,6/10/09
PHL,77,6/11/09
PHL,77,6/12/09
